name,type,varietal,world,country,region_1,region_2,bin,vintage,glass_price,bottle_price,,collection,staff_pick,stock,show,description
"Stift Klosterneuburg Grüner Veltliner Brut",sparkling,Grüner Veltliner,Old World,Austria,Niederösterreich,,100,,,45,,,N,,Y,"A crisp, lively sparkling Grüner Veltliner from Austria's Niederösterreich with green apple, citrus, and a touch of white pepper. Bright acidity and a clean mineral finish make it an excellent aperitif and a fine match for seafood, salads, or lighter dishes."
"Le Brun de Neuville Extra Blanc Blanc de Blancs Chardonnay",sparkling,Chardonnay,Old World,France,Champagne,,104,,,162,,,N,,Y,"An elegant Blanc de Blancs Champagne made entirely from Chardonnay, offering refined bubbles, lemon zest, green apple, and brioche. Bright acidity and a mineral backbone lead to a dry, lingering finish that pairs beautifully with oysters, seafood, or creamy cheeses."
"Veuve Clicquot Yellow Label Brut",sparkling,Champagne Blend,Old World,France,Champagne,,106,,,145,,,N,,Y,"An iconic non-vintage Champagne with lively bubbles and flavors of apple, pear, citrus, and subtle brioche. Medium-bodied and balanced, it suits a wide range of occasions and pairs well with appetizers, seafood, fried foods, or celebratory toasts."
"André Clouet Grande Réserve Brut NV",sparkling,Pinot Noir,Old World,France,Champagne,,107,NV,,90,,,N,,Y,"A rich Pinot Noir-based Champagne from Bouzy with red berry, toasted almond, and subtle yeast complexity. Silky mousse and a dry, lingering finish make it a delightful partner for charcuterie, roast poultry, creamy cheeses, or richer seafood."
"Moët & Chandon Impérial Brut",sparkling,Champagne Blend,Old World,France,Champagne,,111,NV,,110,,,N,,Y,"Moët & Chandon's signature non-vintage Champagne delivers citrus, green apple, pear, and toasty brioche. Light to medium-bodied with brisk acidity and fine bubbles, it complements seafood, salads, appetizers, and festive occasions."
"André Clouet Brut Rosé",sparkling,Pinot Noir,Old World,France,Champagne,,115,NV,,150,,,N,,Y,"An elegant rosé Champagne dominated by Pinot Noir, showing strawberry, cherry, floral notes, and a creamy mousse. Lively and refreshing, it pairs wonderfully with salmon, duck, charcuterie, fresh berries, or soft cheeses."
"Jansz Premium Rosé Brut",sparkling,"Pinot Noir, Chardonnay",New World,Australia,Tasmania,,119,,,45,,,N,,Y,"From Tasmania's cool climate, this sparkling rosé blend offers fresh red berry, citrus, and subtle floral notes with lively acidity and a creamy texture. Dry and well balanced, it is an excellent match for oysters, shellfish, light salads, or brunch dishes."
"Domaine Roblin Enclos de Maimbray Sancerre",white,Sauvignon Blanc,Old World,France,Loire Valley,Sancerre,130,2023,,85,,,N,,Y,"A crisp, mineral-driven Sauvignon Blanc from Sancerre with bright citrus, green apple, and subtle herbal notes. High acidity and a flinty finish make it a natural match for seafood, goat cheese, salads, and lighter vegetable dishes."
"Jean-Claude Dagueneau Domaine des Berthiers Pouilly-Fumé",white,Sauvignon Blanc,Old World,France,Loire Valley,Pouilly-Fumé,133,2020,,100,,,N,,Y,"A focused Loire Valley Sauvignon Blanc with citrus, green apple, smoky mineral notes, and fresh herb character. Its zesty acidity and sleek texture make it especially good with shellfish, white fish, chicken, and bright salads."
"Château La Louvière Grand Vin de Graves Blanc",white,Bordeaux Blend,Old World,France,Bordeaux,Pessac-Léognan,135,2018,,130,,,N,,Y,"A classic white Bordeaux from Pessac-Léognan, typically led by Sauvignon Blanc and Sémillon. It combines citrus, stone fruit, subtle oak, and a creamy texture balanced by fresh acidity, pairing well with seafood, poultry, and richer cream-based sauces."
"Jean-Charles Les Champs L'Hullier Chardonnay",white,Chardonnay,Old World,France,Burgundy,Côte d'Or,136,2020,,75,,,N,,Y,"An elegant Burgundy Chardonnay with orchard fruit, citrus, light oak influence, and a clean mineral edge. Medium-bodied with fresh acidity, it pairs beautifully with seafood, roast chicken, and creamy dishes."
"Jean-Charles Les Loueres Chardonnay",white,Chardonnay,Old World,France,Burgundy,Côte d'Or,138,2021,,,,,N,,Y,"A refined Burgundy Chardonnay showing ripe apple, pear, citrus, and subtle mineral character. Its balanced body and refreshing acidity make it versatile with fish, chicken, vegetable dishes, and light pastas."
"Marcel Servin Chablis Chardonnay",white,Chardonnay,Old World,France,Burgundy,Chablis,137,2022,,80,,,N,,Y,"A lean, mineral-driven Chablis with citrus, green apple, and a clean, steely finish. Bright acidity and a precise style make it an excellent match for oysters, seafood, salads, and simply prepared white fish."
